title,artist,price
Wade Truscott,Wade Truscott,41.6898304176004
Elijah Larsen,Elijah Larsen,36.6143742052905
Caleb Pearson,Caleb Pearson,34.6473185115714
Lucas Marshall,Lucas Marshall,27.3112760122452
Anthony Cooper,Anthony Cooper,10.7405141949377
Brad Todd,Brad Todd,23.0799895176105
Domenic Newman,Domenic Newman,10.4612811233202
Logan Wallace,Logan Wallace,31.8979712388934
Tom Woods,Tom Woods,51.8806369150433
Cedrick Wilde,Cedrick Wilde,42.4536777173419
Clint Hall,Clint Hall,5.63369903742974
Barry Morrison,Barry Morrison,0.305551055029757
Joseph Matthews,Joseph Matthews,31.771485494809
Manuel Avery,Manuel Avery,9.86874505359155
Mason Ward,Mason Ward,33.6881380121634
Caleb Milner,Caleb Milner,17.8373992698441
Oliver Aldridge,Oliver Aldridge,53.4456136042465
Elijah Hopkins,Elijah Hopkins,30.463268343575
Benjamin Thompson,Benjamin Thompson,15.9686752315465
Ethan Hooper,Ethan Hooper,9.91480950960648
Bob Whitehouse,Bob Whitehouse,50.373873373202
George Rogers,George Rogers,23.5613410349755
Chester Greenwood,Chester Greenwood,9.81610131674265
Barney Neville,Barney Neville,7.4444598515725
Daron Pond,Daron Pond,39.3100072836084
Eduardo Stewart,Eduardo Stewart,34.8238583229593
Julius Underhill,Julius Underhill,21.7931542856587
Percy Kennedy,Percy Kennedy,33.4772983270126
Rick Allen,Rick Allen,0.993836390783003
Doug West,Doug West,25.6445953420571
Nathan Haines,Nathan Haines,40.1518882429935
Boris Gonzales,Boris Gonzales,33.915019450204
Liam Shea,Liam Shea,32.6670934574991
Brad Porter,Brad Porter,21.8585043371927
Bryon Nicholls,Bryon Nicholls,36.6740879382352
Javier Gallacher,Javier Gallacher,39.9069823510512
Domenic Ventura,Domenic Ventura,54.0524587179778
Ramon Silva,Ramon Silva,13.0537555325095
Nate Reynolds,Nate Reynolds,37.4486003110412
Mason Oswald,Mason Oswald,18.2118034782874
Danny Silva,Danny Silva,33.4373867937538
Maxwell Hardwick,Maxwell Hardwick,2.00537590356794
Eduardo Wren,Eduardo Wren,38.4200389508251
Owen Ward,Owen Ward,29.1608877522689
David Taylor,David Taylor,18.6321675598771
Hank Young,Hank Young,11.7769507597093
Martin Edmonds,Martin Edmonds,27.7685355999361
Wade Scott,Wade Scott,30.6190489724367
Eduardo Terry,Eduardo Terry,13.4842202307117
Jayden Zaoui,Jayden Zaoui,14.8114532771574
Danny Vallins,Danny Vallins,9.41147250002784
Julius Abbot,Julius Abbot,53.5704778649707
Johnathan Coll,Johnathan Coll,15.5248442816198
Nick James,Nick James,50.6268626119135
Gabriel Robinson,Gabriel Robinson,50.8544152201407
Kieth Fowler,Kieth Fowler,46.3375417023606
Julian Willson,Julian Willson,21.5293183464228
Martin Cattell,Martin Cattell,5.73206071729402
Domenic Funnell,Domenic Funnell,54.3698195798182
Barney Abbot,Barney Abbot,39.5447482078079
Julian Buckley,Julian Buckley,35.4030137562207
